57,47	6
36,50	6
26,72	2
65,11	4
83,14	5
64,11	4
6,55	8
11,10	8
60,6	4
70,62	7
71,85	10
36,30	9
7,96	2
58,6	4
78,51	7
93,22	1
13,42	8
3,16	8
97,35	1
97,81	10
94,32	1
68,90	10
7,98	2
90,59	7
98,24	1
90,85	10
6,16	8
11,86	2
64,78	10
71,98	10
82,81	10
13,78	2
86,32	1
16,77	2
92,12	3
91,43	1
50,71	6
96,91	10
29,51	6
12,92	2
40,80	2
38,91	2
93,48	1
43,39	6
29,79	2
67,27	4
88,39	1
40,41	6
98,91	10
46,21	9
11,86	2
39,99	2
56,94	10
96,0	3
100,37	1
55,43	6
59,37	6
96,44	1
68,9	4
81,47	7
29,44	6
75,96	10
38,8	9
48,69	6
44,22	9
71,47	7
39,54	6
93,7	3
47,53	6
9,99	2
54,53	6
24,96	2
71,39	7
10,41	8
11,40	8
5,16	8
14,13	8
56,26	4
66,3	4
89,75	10
90,62	7
57,13	4
22,34	8
65,76	10
31,5	9
2,13	8
62,84	10
8,91	2
43,22	9
85,67	7
29,18	9
41,12	9
24,39	8
43,20	9
45,91	2
58,33	6
86,8	5
44,100	2
58,95	10
53,85	10
